matricula,nombre,paterno,materno,carrera,servicio
88300146,NORMA CECILIA,AURICH,CEJUELA,Ingeniería en Sistemas Computacionales,23 DE FEBRERO DE 1984 AL 21 DE AGOSTO DE 1984
C13308926,NASSIMA,YANG,MEIJOME,Ingeniería en Sistemas Computacionales,9 DE ENERO DE 1990 AL 8 DE JULIO DE 1990
24307036,SAHEL,LOSILLA,CEMBORAIN,Ingeniería en Electrónica,3 DE FEBRERO DE 2001 AL 2 DE AGOSTO DE 2001
C90309014,RAYCO ANTONIO,ARAGO,GULLON,Ingeniería en Sistemas Computacionales,2 DE FEBRERO DE 2014 AL 1 DE AGOSTO DE 2014
C17309068,LUA,MAHDAD,MORENTE,Ingeniería Industrial,19 DE JULIO DE 2000 AL 15 DE ENERO DE 2001
C78304681,CRISTO ALEJANDRO,BARRIOLUENGO,PAULI,Licenciatura en Contaduría,23 DE JUNIO DE 2020 AL 20 DE DICIEMBRE DE 2020
79304275,ILIANE,MARRUEDO,FREIXENET,Ingeniería en Electrónica,6 DE DICIEMBRE DE 1990 AL 4 DE JUNIO DE 1991
C86304413,ANNE CHARLOTTE,FAGES,FENTE,Ingeniería en Sistemas Computacionales,27 DE JULIO DE 2011 AL 23 DE ENERO DE 2012
C98305742,PEDRO IGNACIO,ATALAYA,PEDRET,Ingeniería Industrial,16 DE FEBRERO DE 2012 AL 14 DE AGOSTO DE 2012
C94300788,HECTOR ALFREDO,BARTOLOME,RUCANDIO,Licenciatura en Contaduría,23 DE DICIEMBRE DE 2004 AL 21 DE JUNIO DE 2005
03309832,LUIS FELIX,VALL LLOSERA,BASAGUREN,Licenciatura en Administración,14 DE ABRIL DE 2006 AL 11 DE OCTUBRE DE 2006
C96303328,DOROTA MARIA,BAILA,PEDROZA,Ingeniería Industrial,17 DE OCTUBRE DE 2003 AL 14 DE ABRIL DE 2004
95300856,ANIBAL ANTONIO,REXACH,KAUSAR,Licenciatura en Administración,2 DE OCTUBRE DE 1982 AL 31 DE MARZO DE 1983
75302990,OLEXIY,AMORIM,TOADER,Ingeniería en Electrónica,30 DE NOVIEMBRE DE 2003 AL 28 DE MAYO DE 2004
96307198,MATIAS ANGEL,SUSILLA,UMBRIA,Licenciatura en Contaduría,25 DE ABRIL DE 2015 AL 22 DE OCTUBRE DE 2015
75303189,JULIO DAVID,MARCA,KRAWCZYK,Ingeniería en Sistemas Computacionales,7 DE AGOSTO DE 1982 AL 3 DE FEBRERO DE 1983
C84309286,KEVIN PATRICK,PISANO,FENECH,Ingeniería Industrial,12 DE JUNIO DE 1974 AL 9 DE DICIEMBRE DE 1974
C93305439,ANDREEA REBECA,CALOPA,PROL,Ingeniería en Electrónica,12 DE ENERO DE 2022 AL 11 DE JULIO DE 2022
C09305164,CATARINA MARIA,ALEXANDRE,TESORERO,Licenciatura en Contaduría,29 DE ABRIL DE 1994 AL 26 DE OCTUBRE DE 1994
C75304882,ALEX ALBERTO,BARQUIER,RONCAL,Ingeniería en Sistemas Computacionales,9 DE AGOSTO DE 1987 AL 5 DE FEBRERO DE 1988
90301202,LEOPOLD,GAVILANES,PEREZ DE HEREDIA,Licenciatura en Contaduría,19 DE FEBRERO DE 2020 AL 17 DE AGOSTO DE 2020
C00302689,ANGEL VENTURA,PALLISER,REOLID,Ingeniería en Electrónica,12 DE AGOSTO DE 2003 AL 8 DE FEBRERO DE 2004
C77304713,FATIMA MERCEDES,PEÑALVER,URRIZA,Licenciatura en Administración,25 DE SEPTIEMBRE DE 2006 AL 24 DE MARZO DE 2007
97301616,BONAVENTURA,VALDEOLMILLOS,MARTIR,Ingeniería en Sistemas Computacionales,29 DE ABRIL DE 2015 AL 26 DE OCTUBRE DE 2015
C76302028,REGINA PILAR,SALAVERA,DAÑOBEITIA,Licenciatura en Contaduría,2 DE AGOSTO DE 1975 AL 29 DE ENERO DE 1976
94301032,SAMUEL PEDRO,YUSTE,LOAISA,Licenciatura en Contaduría,17 DE FEBRERO DE 2025 AL 16 DE AGOSTO DE 2025
85300479,JANAT,COVES,VALEN,Licenciatura en Contaduría,3 DE NOVIEMBRE DE 1993 AL 2 DE MAYO DE 1994
84304979,GIOVANNI JOSE,ARAVENA,ACHALANDABASO,Licenciatura en Administración,6 DE MAYO DE 1997 AL 2 DE NOVIEMBRE DE 1997
C08302768,BEATRIZ CLARA,AOURAGHE,BARROCAL,Ingeniería Industrial,11 DE MAYO DE 1980 AL 7 DE NOVIEMBRE DE 1980
C06303223,AIZANE,AMAKRAN,JUARISTI,Ingeniería en Sistemas Computacionales,2 DE AGOSTO DE 1998 AL 29 DE ENERO DE 1999
95300064,ABOUBAKR,CHAKIRI,IRURITA,Ingeniería en Electrónica,14 DE AGOSTO DE 2003 AL 10 DE FEBRERO DE 2004
77300034,BALVINA,FALQUET,BIGORRA,Licenciatura en Administración,21 DE MAYO DE 1977 AL 17 DE NOVIEMBRE DE 1977
C81303057,ISIDORO FRANCISCO,DUTAN,PEDROSO,Ingeniería en Electrónica,14 DE FEBRERO DE 1984 AL 12 DE AGOSTO DE 1984
C21309898,SANDRA MARLENE,MAÑEZ,MADROÑO,Licenciatura en Contaduría,1 DE AGOSTO DE 2006 AL 28 DE ENERO DE 2007
C85306536,EULOGI,AZCUETA,APOLINAR,Ingeniería en Sistemas Computacionales,10 DE OCTUBRE DE 1985 AL 8 DE ABRIL DE 1986
10301945,HECTOR SALVADOR,FALCETO,GIRONES,Licenciatura en Administración,1 DE NOVIEMBRE DE 2023 AL 29 DE ABRIL DE 2024
79307518,DAN GABRIEL,LUBIANO,SOZA,Ingeniería Industrial,28 DE AGOSTO DE 2021 AL 24 DE FEBRERO DE 2022
82309262,SERGIU,LASARTE,LAURIA,Licenciatura en Administración,24 DE FEBRERO DE 1996 AL 22 DE AGOSTO DE 1996
91301134,KARLA DANIELA,KOVAL,ELIPE,Ingeniería en Electrónica,19 DE AGOSTO DE 2013 AL 15 DE FEBRERO DE 2014
C18308051,SANDRA FABIANA,SANCHEZ CID,AREVALILLO,Licenciatura en Contaduría,23 DE JUNIO DE 1981 AL 20 DE DICIEMBRE DE 1981
C76302568,DAN ALEXANDRU,ONETTI,PETRE,Ingeniería en Electrónica,7 DE OCTUBRE DE 1990 AL 5 DE ABRIL DE 1991
C12303561,BRYAN ISRAEL,MENESES,LAGUNAS,Ingeniería en Electrónica,28 DE SEPTIEMBRE DE 1974 AL 27 DE MARZO DE 1975
77303375,ORLANDA,ALGOBIA,GRANADO,Ingeniería Industrial,14 DE FEBRERO DE 2019 AL 13 DE AGOSTO DE 2019
18302119,LIVAN,TARAFA,QUEIJEIRO,Ingeniería en Sistemas Computacionales,30 DE JUNIO DE 1979 AL 27 DE DICIEMBRE DE 1979
C77306278,AUREMBIAIX,EIRAS,SIERRA,Licenciatura en Administración,27 DE MARZO DE 2024 AL 23 DE SEPTIEMBRE DE 2024
C99306537,ADEI,POMBAL,ABALO,Ingeniería Industrial,10 DE OCTUBRE DE 1977 AL 8 DE ABRIL DE 1978
C05309973,KHADIYA,ARITON,CASTAN,Ingeniería Industrial,2 DE ABRIL DE 1975 AL 29 DE SEPTIEMBRE DE 1975
C78306066,SAUSAN,ALMUDI,ORDORICA,Ingeniería en Electrónica,14 DE ABRIL DE 2025 AL 11 DE OCTUBRE DE 2025
25304319,JOSE ALEXANDER,COSTAS,RUIZ DE GOPEGUI,Licenciatura en Contaduría,2 DE AGOSTO DE 1981 AL 29 DE ENERO DE 1982
C89307391,ELEUTERIO,PORLAN,BURGUI,Licenciatura en Contaduría,1 DE JULIO DE 1993 AL 28 DE DICIEMBRE DE 1993
80301946,BELINDA CARMEN,LAORDEN,CODESIDO,Ingeniería en Electrónica,17 DE NOVIEMBRE DE 2017 AL 16 DE MAYO DE 2018
C99303385,THERESA,PEDRERO,NEBRA,Ingeniería Industrial,18 DE SEPTIEMBRE DE 2010 AL 17 DE MARZO DE 2011
C12300268,MARCO MANUEL,RABANO,JAMALI,Licenciatura en Administración,25 DE NOVIEMBRE DE 1993 AL 24 DE MAYO DE 1994
C99300252,EDWIN ALONSO,DEL BLANCO,SANGLAS,Ingeniería Industrial,28 DE MARZO DE 1989 AL 24 DE SEPTIEMBRE DE 1989
C06302947,DIANA INES,PIJUAN,MONTARDIT,Licenciatura en Contaduría,29 DE ABRIL DE 2011 AL 26 DE OCTUBRE DE 2011
C99303148,JENNIFER ANN,LAVELA,MAROUF,Ingeniería en Sistemas Computacionales,22 DE FEBRERO DE 2004 AL 20 DE AGOSTO DE 2004
19307000,FRANKLIN JOSE,CAO,CANTARELL,Ingeniería Industrial,22 DE ENERO DE 2022 AL 21 DE JULIO DE 2022
12301408,JORGE CARMELO,VELAYOS,QUICHIMBO,Licenciatura en Contaduría,2 DE MAYO DE 2007 AL 29 DE OCTUBRE DE 2007
C98301835,DORALICE,BOY,JORCANO,Ingeniería Industrial,31 DE OCTUBRE DE 1977 AL 29 DE ABRIL DE 1978
C04301998,FREDDY RICARDO,SAGUAR,LAGHMICH,Licenciatura en Contaduría,13 DE FEBRERO DE 1982 AL 12 DE AGOSTO DE 1982
80308118,GILVAN,MARTIN MACHO,SAYAR,Licenciatura en Contaduría,2 DE NOVIEMBRE DE 2022 AL 1 DE MAYO DE 2023
92305985,ERIKA VIVIANA,ZOROA,OLARTE,Licenciatura en Contaduría,15 DE ABRIL DE 1981 AL 12 DE OCTUBRE DE 1981
C07301936,JULIA ESMERALDA,FANECA,EL HASSANI,Licenciatura en Administración,2 DE DICIEMBRE DE 2008 AL 31 DE MAYO DE 2009
91301341,ISACIO,DOÑORO,BORRAT,Ingeniería en Electrónica,11 DE JULIO DE 2012 AL 7 DE ENERO DE 2013
C08304408,LLUIS ALBERT,TIMOFTE,MOUZOURI,Licenciatura en Contaduría,4 DE MARZO DE 1975 AL 31 DE AGOSTO DE 1975
99305073,ANIKA,ALLEPUZ,CORDIDO,Ingeniería en Electrónica,29 DE JULIO DE 2021 AL 25 DE ENERO DE 2022
92301644,OLIMPIU,MASANA,VIGARA,Ingeniería Industrial,20 DE JULIO DE 2017 AL 16 DE ENERO DE 2018
13304940,VICTOR EDUARDO,VALL LLOVERA,AUCACAMA,Licenciatura en Administración,12 DE AGOSTO DE 2001 AL 8 DE FEBRERO DE 2002
08305973,ROSA ANGELES,REGUE,ELICHE,Ingeniería Industrial,28 DE ENERO DE 2023 AL 27 DE JULIO DE 2023
96304811,BRUNO JESUS,MARFA,MACIPE,Licenciatura en Administración,31 DE MAYO DE 1979 AL 27 DE NOVIEMBRE DE 1979
C86300169,EGLE,JENKINS,AGUIRREBENGOA,Ingeniería en Sistemas Computacionales,30 DE NOVIEMBRE DE 1978 AL 29 DE MAYO DE 1979
C12304357,LOURDES VICTORIA,UGEDA,ARCELUS,Ingeniería Industrial,15 DE ENERO DE 2011 AL 14 DE JULIO DE 2011
87306307,ANWAR,IVERN,VILLAFUERTES,Ingeniería en Electrónica,14 DE ENERO DE 2022 AL 13 DE JULIO DE 2022
87303731,SHERYL,ZARRIAS,MINGOLLA,Ingeniería en Electrónica,8 DE SEPTIEMBRE DE 1977 AL 7 DE MARZO DE 1978
C80304301,YOSSRA,ALCORISA,BRANDI,Licenciatura en Contaduría,14 DE MARZO DE 2003 AL 10 DE SEPTIEMBRE DE 2003
C19308141,XIU,URBIZU,JUZGADO,Licenciatura en Contaduría,18 DE JULIO DE 1996 AL 14 DE ENERO DE 1997
C83303983,DIEGO SEBASTIAN,BANET,NIELL,Ingeniería Industrial,20 DE NOVIEMBRE DE 2007 AL 18 DE MAYO DE 2008
C84304960,ANA NOEMI,TOME,NOBOA,Ingeniería en Electrónica,6 DE JULIO DE 2017 AL 2 DE ENERO DE 2018
92305088,MERCEDES MARTA,VANCEA,CANDAME,Licenciatura en Administración,1 DE NOVIEMBRE DE 1993 AL 30 DE ABRIL DE 1994
C79304072,BALDEV,MINDEGUIA,NAVAMUEL,Licenciatura en Administración,27 DE FEBRERO DE 2020 AL 25 DE AGOSTO DE 2020
C93302687,ANDREEA ALEXANDRA,AGUILOCHO,BEGIRISTAIN,Ingeniería Industrial,28 DE MAYO DE 1995 AL 24 DE NOVIEMBRE DE 1995
C82309282,LILIAN NOEMI,ALLER,BASTIDAS,Licenciatura en Contaduría,11 DE JUNIO DE 1984 AL 8 DE DICIEMBRE DE 1984
C12306624,RAZAK,AGRAS,TUGUI,Ingeniería en Sistemas Computacionales,28 DE SEPTIEMBRE DE 2013 AL 27 DE MARZO DE 2014
97305002,SABER,CASA,URBIZU,Ingeniería Industrial,23 DE JULIO DE 2006 AL 19 DE ENERO DE 2007
76301608,CRISTINA DANIELA,VELANDO,AICART,Ingeniería Industrial,12 DE MAYO DE 1999 AL 8 DE NOVIEMBRE DE 1999
C11301358,WILSON PATRICIO,BODEA,DE ORY,Licenciatura en Contaduría,21 DE ABRIL DE 2004 AL 18 DE OCTUBRE DE 2004
C80303056,BLANCA LEONOR,AGHBALOU,MARTIN MOYANO,Licenciatura en Contaduría,12 DE OCTUBRE DE 1987 AL 9 DE ABRIL DE 1988
C02300653,EVELYN MARIA,CHAFLA,PARTE,Ingeniería Industrial,4 DE FEBRERO DE 2006 AL 3 DE AGOSTO DE 2006
20303476,ANNA MARIE,ALCARRIA,LAMBAS,Ingeniería en Sistemas Computacionales,2 DE SEPTIEMBRE DE 2006 AL 1 DE MARZO DE 2007
C02309910,NICOLAE ALIN,ANGHELUTA,NEGREAN,Licenciatura en Administración,21 DE AGOSTO DE 1999 AL 17 DE FEBRERO DE 2000
92306171,RONALD CHARLES,CHAVARRIA,ALANZOR,Licenciatura en Contaduría,25 DE JUNIO DE 2008 AL 22 DE DICIEMBRE DE 2008
C93306828,DUHA,ETXABE,BUA,Licenciatura en Contaduría,30 DE DICIEMBRE DE 2018 AL 28 DE JUNIO DE 2019
C00305463,SAMUEL SANTIAGO,COUSELO,MORRONDO,Licenciatura en Administración,5 DE JUNIO DE 2020 AL 2 DE DICIEMBRE DE 2020
17302036,MARIA PILAR OLGA,FONTESTAD,GUIRADO,Licenciatura en Contaduría,26 DE SEPTIEMBRE DE 1978 AL 25 DE MARZO DE 1979
C88300277,HIGINI,TAGARRO,LIJO,Ingeniería en Electrónica,17 DE ABRIL DE 2010 AL 14 DE OCTUBRE DE 2010
C00305629,ESTEBAN JESUS,ZHENG,MUSAT,Licenciatura en Administración,25 DE NOVIEMBRE DE 1997 AL 24 DE MAYO DE 1998
16301241,AINHOA BELEN,NECULA,DE PAZ,Ingeniería en Sistemas Computacionales,23 DE NOVIEMBRE DE 1988 AL 22 DE MAYO DE 1989
09304494,VICENTE ANGEL,POUSO,GUTU,Ingeniería en Electrónica,12 DE ENERO DE 1997 AL 11 DE JULIO DE 1997
C98307186,NELIDA ESTHER,GRANGE,BARREAL,Ingeniería en Electrónica,22 DE SEPTIEMBRE DE 1976 AL 21 DE MARZO DE 1977
C19302410,YANINA ELIZABETH,ESTURO,OSEGUERA,Ingeniería en Sistemas Computacionales,25 DE FEBRERO DE 2010 AL 24 DE AGOSTO DE 2010
C77303012,IKER UNAI,AMETLLER,GOODWIN,Ingeniería en Electrónica,24 DE FEBRERO DE 2009 AL 23 DE AGOSTO DE 2009
C15304992,NELSA,FERNANDEZ MARCOS,ARANGOA,Ingeniería Industrial,14 DE JUNIO DE 2008 AL 11 DE DICIEMBRE DE 2008
11307305,LUIS MOISES,BEAR,ZARAGOZI,Ingeniería en Sistemas Computacionales,22 DE DICIEMBRE DE 1997 AL 20 DE JUNIO DE 1998
15302491,ADELINDA,SVENSSON,MILANO,Ingeniería en Sistemas Computacionales,18 DE AGOSTO DE 2010 AL 14 DE FEBRERO DE 2011
C86300487,FLORIN OVIDIU,DUMA,ORDIERES,Licenciatura en Administración,27 DE NOVIEMBRE DE 2019 AL 25 DE MAYO DE 2020
78302140,KASSIM,CABALLOL,COLE,Ingeniería en Electrónica,25 DE SEPTIEMBRE DE 1974 AL 24 DE MARZO DE 1975
98306533,HORACIO FERNANDO,BIOQUE,ORIO,Licenciatura en Contaduría,8 DE FEBRERO DE 2008 AL 6 DE AGOSTO DE 2008
C96307368,PALOMA BELEN,JOHNSON,LOPEZ CASTILLO,Licenciatura en Contaduría,13 DE ENERO DE 1976 AL 11 DE JULIO DE 1976
09307275,NAZMUL,FIGUERO,IRURTIA,Licenciatura en Contaduría,30 DE AGOSTO DE 1987 AL 26 DE FEBRERO DE 1988
90301992,ALEXIS ANTONIO,SEVERINO,CASADEVALL,Ingeniería en Electrónica,23 DE JUNIO DE 1991 AL 20 DE DICIEMBRE DE 1991
C80304269,PAU,PAGEO,MAGALLANES,Licenciatura en Contaduría,29 DE JUNIO DE 2004 AL 26 DE DICIEMBRE DE 2004
C09301804,KAREN JULIETH,SORALUCE,NOVILLO,Ingeniería en Sistemas Computacionales,23 DE FEBRERO DE 1993 AL 22 DE AGOSTO DE 1993
C96306203,SALVIA,FONTBONA,PUEYO,Ingeniería en Sistemas Computacionales,16 DE DICIEMBRE DE 1978 AL 14 DE JUNIO DE 1979
06304812,HUGO DARIO,MARTEL,SURIS,Ingeniería Industrial,29 DE JULIO DE 1987 AL 25 DE ENERO DE 1988
C25307053,LAMIAE,MARACINE,ZAHONERO,Ingeniería en Sistemas Computacionales,2 DE FEBRERO DE 1991 AL 1 DE AGOSTO DE 1991
C00300987,MAGDALENA KATARZYNA,DIEPPA,ARRUDA,Ingeniería en Sistemas Computacionales,20 DE MARZO DE 2009 AL 16 DE SEPTIEMBRE DE 2009
06308428,RADITA,GRIÑON,CARRIQUE,Ingeniería Industrial,9 DE ENERO DE 1982 AL 8 DE JULIO DE 1982
C09301427,TANIA SOFIA,CARCAR,URIBARREN,Licenciatura en Contaduría,23 DE JULIO DE 1997 AL 19 DE ENERO DE 1998
C76305985,YGUANIRA,MERO,COTOI,Ingeniería en Electrónica,19 DE AGOSTO DE 2002 AL 15 DE FEBRERO DE 2003
10302609,CRISTIAN MIHAI,MORENO PALANCAS,GOSENDE,Licenciatura en Contaduría,28 DE DICIEMBRE DE 1983 AL 25 DE JUNIO DE 1984
08306397,BRIANA,VITAL,COPA,Ingeniería en Sistemas Computacionales,3 DE FEBRERO DE 2008 AL 1 DE AGOSTO DE 2008
C79306796,JUAN FIDEL,GENES,PASTORET,Ingeniería en Electrónica,20 DE FEBRERO DE 2016 AL 18 DE AGOSTO DE 2016
76305499,CHAIBIA,GUBAU,DA VEIGA,Ingeniería Industrial,18 DE JUNIO DE 1990 AL 15 DE DICIEMBRE DE 1990
C20300109,MARCELO FERNANDO,VICARIA,NUEDA,Ingeniería en Electrónica,26 DE ABRIL DE 2018 AL 23 DE OCTUBRE DE 2018
C18304356,MARIANA ADRIANA,CURTE,ORMAETXEA,Licenciatura en Administración,14 DE MARZO DE 1975 AL 10 DE SEPTIEMBRE DE 1975
25304061,RENAUD,SEOANE,CAMBRAY,Ingeniería en Sistemas Computacionales,26 DE JULIO DE 1982 AL 22 DE ENERO DE 1983
C77302571,MARTA MACARENA,MORQUILLAS,JARNE,Ingeniería en Electrónica,4 DE FEBRERO DE 2009 AL 3 DE AGOSTO DE 2009
C86308046,FRANCO JAVIER,DE LUCIO,SALELLAS,Licenciatura en Administración,15 DE SEPTIEMBRE DE 1996 AL 14 DE MARZO DE 1997
23302636,DAN LUCIAN,ESCOS,MUNTE,Ingeniería Industrial,13 DE MAYO DE 2015 AL 9 DE NOVIEMBRE DE 2015
01305099,MARIA JENNIFER,URSACHE,BESA,Licenciatura en Contaduría,11 DE MAYO DE 2014 AL 7 DE NOVIEMBRE DE 2014
C94308766,WILSON ANIBAL,CATANA,OPREAN,Licenciatura en Contaduría,19 DE ENERO DE 2003 AL 18 DE JULIO DE 2003
14301096,VELICHKO,ALOR,COSIALLS,Ingeniería Industrial,12 DE MAYO DE 2021 AL 8 DE NOVIEMBRE DE 2021
C97304042,IONEL,REVILLA,ARNDT,Ingeniería en Electrónica,18 DE ABRIL DE 2003 AL 15 DE OCTUBRE DE 2003
C19303703,YOVANNA,LERMO,CHILLIDA,Licenciatura en Contaduría,21 DE DICIEMBRE DE 2013 AL 19 DE JUNIO DE 2014
20307668,KATIUSCIA,BAIGORRIA,BASTERO,Ingeniería en Sistemas Computacionales,5 DE MARZO DE 2006 AL 1 DE SEPTIEMBRE DE 2006
75303698,VANESA ESTEFANIA,OSORO,RAMA,Licenciatura en Administración,8 DE SEPTIEMBRE DE 2003 AL 6 DE MARZO DE 2004
76302941,MOUHSIN,SOLBAS,VERDURAS,Ingeniería Industrial,24 DE JULIO DE 2015 AL 20 DE ENERO DE 2016
20308760,EZZAHRA,ZUAZUA,NAFRIA,Ingeniería en Sistemas Computacionales,14 DE NOVIEMBRE DE 1995 AL 12 DE MAYO DE 1996
C95308731,ELENA FELICIA,VECILLAS,DUCHI,Licenciatura en Contaduría,10 DE MAYO DE 1981 AL 6 DE NOVIEMBRE DE 1981
11302275,KASANDRA,LARGO,DOMENE,Licenciatura en Contaduría,3 DE NOVIEMBRE DE 1978 AL 2 DE MAYO DE 1979
87302422,GRACIELA ESTER,POZANCO,EZEIZA,Ingeniería en Electrónica,18 DE ENERO DE 2020 AL 16 DE JULIO DE 2020
C88304177,BENEDITO,TXINTXURRETA,RAI,Ingeniería Industrial,5 DE FEBRERO DE 1981 AL 4 DE AGOSTO DE 1981
14309781,ANDREA VALERIA,AZLOR,TARELA,Licenciatura en Administración,26 DE OCTUBRE DE 1986 AL 24 DE ABRIL DE 1987
C08304731,ELLEN MARY,PADURE,VEIGUELA,Licenciatura en Contaduría,24 DE NOVIEMBRE DE 1986 AL 23 DE MAYO DE 1987
74309032,NIGEL DAVID,ARTIACH,CATEDRA,Ingeniería en Sistemas Computacionales,29 DE JULIO DE 2025 AL 25 DE ENERO DE 2026
C93306101,KAREN DAYANA,GREUS,VILLADIEGO,Licenciatura en Contaduría,22 DE ABRIL DE 1984 AL 19 DE OCTUBRE DE 1984
91300817,CHRISTOPHER STEPHEN,BORTA,THAPA,Licenciatura en Contaduría,9 DE AGOSTO DE 1981 AL 5 DE FEBRERO DE 1982
81300202,HUGO EMILIO,PESET,HABIB,Ingeniería en Electrónica,5 DE OCTUBRE DE 2011 AL 2 DE ABRIL DE 2012
C89301000,CONCEPCIO,DE ANA,CHENLO,Licenciatura en Contaduría,9 DE AGOSTO DE 1988 AL 5 DE FEBRERO DE 1989
C18307186,MURIELLE,OZON,LIJO,Licenciatura en Administración,28 DE MAYO DE 2002 AL 24 DE NOVIEMBRE DE 2002
C20300241,ARUNA,LLOBELL,CAMPANO,Licenciatura en Administración,24 DE ENERO DE 2013 AL 23 DE JULIO DE 2013
C14303026,MARIA GUIA,LABAKA,GORROTXATEGI,Licenciatura en Administración,14 DE NOVIEMBRE DE 1977 AL 13 DE MAYO DE 1978
C13302752,CARMEN TRINIDAD,BROOKS,COLE,Licenciatura en Contaduría,30 DE DICIEMBRE DE 2017 AL 28 DE JUNIO DE 2018
C12309260,YAZIRA,JUNCAL,EL HASSNAOUI,Ingeniería Industrial,11 DE MAYO DE 1978 AL 7 DE NOVIEMBRE DE 1978
C03305048,SIMEON,RAU,REDREJO,Ingeniería en Electrónica,19 DE NOVIEMBRE DE 1975 AL 17 DE MAYO DE 1976
25300930,SHIRLEY ELIZABETH,MARIBLANCA,BURDIO,Licenciatura en Contaduría,14 DE OCTUBRE DE 2008 AL 12 DE ABRIL DE 2009
22302772,MOKHTAR,OTTO,ESCRIGAS,Licenciatura en Administración,3 DE ABRIL DE 2007 AL 30 DE SEPTIEMBRE DE 2007
76304576,BENYOUNES,MANTA,ERCILLA,Ingeniería en Electrónica,4 DE MARZO DE 2007 AL 31 DE AGOSTO DE 2007
C06305967,ANTONIO ELADIO,LANCIEGO,GONZALEZ MOHINO,Ingeniería en Electrónica,19 DE JUNIO DE 1984 AL 16 DE DICIEMBRE DE 1984
C15302542,DOREL VASILE,MOSTEIRO,BACHES,Ingeniería Industrial,9 DE MAYO DE 2019 AL 5 DE NOVIEMBRE DE 2019
12307939,DIANA MANUELA,GIRO,RECUERDA,Ingeniería en Electrónica,4 DE ENERO DE 1981 AL 3 DE JULIO DE 1981
83300175,DORA LILIA,ALMARZA,ANDEME,Ingeniería Industrial,29 DE NOVIEMBRE DE 1976 AL 28 DE MAYO DE 1977
C24308069,ROSA MARIELA,CINZA,PAISANO,Licenciatura en Contaduría,22 DE OCTUBRE DE 1993 AL 20 DE ABRIL DE 1994
C24307104,JUANA IGNACIA,MANIAS,CASTARNADO,Ingeniería Industrial,16 DE JUNIO DE 2001 AL 13 DE DICIEMBRE DE 2001
75301403,PIETERNELLA,COSTANZO,MANOVEL,Ingeniería en Sistemas Computacionales,1 DE ABRIL DE 1996 AL 28 DE SEPTIEMBRE DE 1996
00300520,TIBURCIO,CAÑON,PAVEZ,Licenciatura en Administración,16 DE SEPTIEMBRE DE 1974 AL 15 DE MARZO DE 1975
98307690,DAVID AURELIO,GESE,RENGEL,Ingeniería Industrial,23 DE AGOSTO DE 2013 AL 19 DE FEBRERO DE 2014
C96300702,LIGIA PATRICIA,PECI,BELASTEGUI,Ingeniería en Sistemas Computacionales,15 DE MARZO DE 1989 AL 11 DE SEPTIEMBRE DE 1989
C10301252,MATTHEW ALEXANDER,CHAO,BUSQUETS,Licenciatura en Administración,18 DE NOVIEMBRE DE 2004 AL 17 DE MAYO DE 2005
89308868,ZORAIDA,CARDONER,CAYARGA,Ingeniería en Sistemas Computacionales,9 DE NOVIEMBRE DE 1984 AL 8 DE MAYO DE 1985
C01301660,ADELHEID,LIGORRED,GARABATO,Ingeniería en Electrónica,15 DE MARZO DE 2017 AL 11 DE SEPTIEMBRE DE 2017
C95304752,MUHAMMAD BILAL,CHILLIDA,COBEÑO,Licenciatura en Administración,27 DE DICIEMBRE DE 2014 AL 25 DE JUNIO DE 2015
C94308866,ROGER CHARLES,HADDAD,FENOLLAR,Licenciatura en Contaduría,4 DE JUNIO DE 1994 AL 1 DE DICIEMBRE DE 1994
C25304751,CIARA,CARRAMOLINO,ARES,Ingeniería en Sistemas Computacionales,15 DE AGOSTO DE 1974 AL 11 DE FEBRERO DE 1975
C79300180,PATRICIO,TAUT,NUTA,Licenciatura en Contaduría,3 DE SEPTIEMBRE DE 2018 AL 2 DE MARZO DE 2019
C92308229,EMMANUEL,ESPRIU,DUPUY,Licenciatura en Contaduría,16 DE JULIO DE 2009 AL 12 DE ENERO DE 2010
85303096,KEVIN FERNANDO,USAN,LEGASA,Ingeniería en Sistemas Computacionales,25 DE NOVIEMBRE DE 1974 AL 24 DE MAYO DE 1975
C21306933,SILVIA GUADALUPE,ALMONACID,LESAN,Licenciatura en Contaduría,22 DE AGOSTO DE 2014 AL 18 DE FEBRERO DE 2015
C08301677,SEDA,SORIANO,RAUSELL,Ingeniería Industrial,14 DE ABRIL DE 1999 AL 11 DE OCTUBRE DE 1999
C92300074,CARL ANTHONY,ARNO,GARCIA MOCHALES,Ingeniería en Electrónica,1 DE MARZO DE 1994 AL 28 DE AGOSTO DE 1994
C97300363,GUENDALINA,HERMOSIN,VESA,Licenciatura en Administración,28 DE JUNIO DE 1991 AL 25 DE DICIEMBRE DE 1991
C92304053,DIOUF,BRUNED,KOSTOV,Licenciatura en Administración,4 DE NOVIEMBRE DE 1981 AL 3 DE MAYO DE 1982
06306548,CLAUDIA TATIANA,MACALOU,ASTOLA,Ingeniería Industrial,1 DE ENERO DE 1975 AL 30 DE JUNIO DE 1975
C88309087,LISBETH CAROLINA,TUA,PACHE,Licenciatura en Administración,3 DE FEBRERO DE 2012 AL 1 DE AGOSTO DE 2012
96304237,YESENIA ROCIO,EPURE,COBZARU,Ingeniería en Sistemas Computacionales,11 DE MAYO DE 2009 AL 7 DE NOVIEMBRE DE 2009
